config_label,n,g,steps,ansatz_d,drop_rate,init_seed,seed,target_depth,final_cost,elapsed_s,last10_std
critical,8,1.0,12,6,0.4,3,3400,48,0.006369444578588679,4.54279979201965,4.075368431980602e-05
critical,8,1.0,12,6,0.5,3,3500,48,0.007933529178054233,4.807592582888901,2.5814731189668014e-05
critical,8,1.0,12,6,0.7,3,3700,48,0.007662076616798519,4.463263625046238,7.637203566694752e-05
critical,8,1.0,12,6,0.0,4,4000,48,0.008394961918807287,4.830730999819934,0.0004940996914012847
critical,8,1.0,12,6,0.05,4,4050,48,0.00839441363552007,4.814394874963909,0.000494074315275598
critical,8,1.0,12,6,0.1,4,4100,48,0.008818526550899763,5.673164833104238,0.0004956912515853218
critical,8,1.0,12,6,0.15,4,4150,48,0.007726587417717923,5.164317999966443,0.00038300312221779077
critical,8,1.0,12,6,0.2,4,4200,48,0.013724455435995875,4.987900708802044,3.910170509435766e-06
critical,8,1.0,12,6,0.25,4,4250,48,0.01639557717982698,4.6364317908883095,0.00024287848610569397
critical,8,1.0,12,6,0.3,4,4300,48,0.013767703963423417,4.504060207866132,1.403248996226263e-05
critical,8,1.0,12,6,0.4,4,4400,48,0.012495191579254827,4.306050083134323,6.132294631434926e-05
critical,8,1.0,12,6,0.5,4,4500,48,0.00496534025359785,4.355255417060107,0.0002392360372790015
critical,8,1.0,12,6,0.7,4,4700,48,0.006287669254683381,4.309050542069599,0.00022839929497035623
critical,8,1.0,12,6,0.0,5,5000,48,0.008151574331745293,5.01841325010173,0.0002793104978233664
critical,8,1.0,12,6,0.05,5,5050,48,0.008151573609729512,5.003822125028819,0.0002793104972987738
critical,8,1.0,12,6,0.1,5,5100,48,0.03788443943655939,4.71124866604805,2.9473108451737906e-07
critical,8,1.0,12,6,0.15,5,5150,48,0.03829372119430641,4.8363672501873225,8.338578800673782e-06
critical,8,1.0,12,6,0.2,5,5200,48,0.012141763833845465,4.563388084061444,1.5139220632779696e-05
critical,8,1.0,12,6,0.25,5,5250,48,0.03793389116420176,4.414726624963805,1.699384181714576e-06
critical,8,1.0,12,6,0.3,5,5300,48,0.01124065274302799,4.62586300005205,0.0010440309910969062
critical,8,1.0,12,6,0.4,5,5400,48,0.038040427765913654,4.538367875153199,0.00015611614561630475
